head,predicate,tail,dataset
10040344,_derivationally_related_form,02696306,train
01886220,_member_meronym,02062209,train
14014621,_hypernym,14034177,valid
02457586,_hypernym,01862557,train
01458664,_derivationally_related_form,03339643,train
08056231,_derivationally_related_form,10060352,train
10325774,_derivationally_related_form,01743784,train
01993065,_member_meronym,01993214,train
00550341,_hypernym,00548326,train
02704949,_derivationally_related_form,02618468,train
01996574,_also_see,00780191,train
00326619,_synset_domain_topic_of,00243918,train
13742358,_derivationally_related_form,00297507,train
01239619,_derivationally_related_form,02918595,valid
09433442,_derivationally_related_form,01981436,train
02640093,_member_meronym,02640242,train
02064131,_derivationally_related_form,08182716,train
02612762,_derivationally_related_form,09608002,train
05951969,_derivationally_related_form,10306279,train
11295196,_instance_hypernym,10030277,train
02731024,_derivationally_related_form,01758339,train
12039743,_member_meronym,12086362,train
02741357,_derivationally_related_form,00318735,train
00413876,_derivationally_related_form,10583387,train
00013328,_hypernym,00010435,train
02309008,_hypernym,02308741,valid
01320009,_derivationally_related_form,03496892,train
10595164,_hypernym,10235549,train
00715868,_hypernym,00697589,train
06495328,_derivationally_related_form,00794981,train
00090513,_derivationally_related_form,00662681,train
10741821,_derivationally_related_form,10742005,train
01370561,_also_see,02401809,train
02377651,_derivationally_related_form,13845239,train
00214951,_derivationally_related_form,14535431,train
05706954,_hypernym,05706629,test
01590443,_member_meronym,01590583,train
11656974,_hypernym,11554175,train
10619492,_derivationally_related_form,02388950,train
01996402,_derivationally_related_form,00286756,train
04822032,_hypernym,04820258,train
09953775,_hypernym,10622053,train
07695965,_hypernym,07712382,train
05693919,_hypernym,05692910,train
13950440,_derivationally_related_form,02669081,train
10480583,_hypernym,09820263,train
00733250,_derivationally_related_form,13593219,train
02638444,_derivationally_related_form,10737103,train
12711817,_hypernym,12707432,train
01943406,_also_see,02498708,test
01806505,_derivationally_related_form,04686388,valid
09106770,_instance_hypernym,08524735,train
01430111,_also_see,00464513,train
10553805,_derivationally_related_form,02551832,train
14333136,_hypernym,14332617,train
05714894,_derivationally_related_form,01053144,train
02641035,_derivationally_related_form,01062817,test
15226214,_hypernym,15116532,train
00276813,_derivationally_related_form,00492410,train
08108784,_hypernym,07992450,train
11060103,_instance_hypernym,10705615,train
15282696,_derivationally_related_form,02055975,train
15097017,_hypernym,15096783,train
00261705,_hypernym,00260648,train
01649251,_hypernym,01651444,train
01004062,_derivationally_related_form,04681387,train
07509572,_hypernym,00026192,train
01516534,_verb_group,01646300,train
11923637,_hypernym,11915214,train
02586865,_hypernym,01432517,train
01261712,_derivationally_related_form,01761120,train
02563497,_member_meronym,02563949,train
11245110,_instance_hypernym,10650162,valid
13016457,_member_meronym,13232515,train
05546540,_hypernym,05225090,train
02120140,_derivationally_related_form,05723417,train
13271320,_derivationally_related_form,02201268,train
05903229,_synset_domain_topic_of,08441203,train
01944390,_hypernym,01942177,train
15002959,_derivationally_related_form,01521367,train
14714817,_hypernym,15036638,train
04969242,_hypernym,04968895,train
00779360,_hypernym,00779061,train
06013584,_hypernym,06012726,train
08699426,_has_part,09043052,train
11985739,_hypernym,12205694,train
12939874,_hypernym,12205694,train
11850748,_hypernym,11573660,train
08988068,_instance_hypernym,08691669,train
05289861,_has_part,05459769,train
02270404,_derivationally_related_form,10252674,train
15265518,_hypernym,15180528,train
03619793,_hypernym,02769748,train
01821996,_derivationally_related_form,07553741,train
01407904,_hypernym,01405044,train
00656107,_hypernym,00654625,train
09754541,_derivationally_related_form,00798717,train
11637015,_hypernym,11636566,train
10095061,_hypernym,10622053,train
01593614,_hypernym,01346003,train
03128583,_derivationally_related_form,03051540,train
01878500,_hypernym,01864707,train
11937965,_member_meronym,11938732,train
00239321,_hypernym,00109660,test
02729023,_verb_group,01999423,train
00031820,_derivationally_related_form,06778102,train
02658447,_hypernym,02657219,train
14210971,_derivationally_related_form,02656218,train
10725280,_derivationally_related_form,00959827,train
00972191,_derivationally_related_form,04717139,train
09987239,_hypernym,10628644,train
07131511,_hypernym,07128946,train
11449002,_hypernym,11419404,train
01141763,_hypernym,01141612,train
02626405,_hypernym,02624263,train
01380489,_hypernym,01352574,train
06410776,_derivationally_related_form,01058574,train
00387310,_hypernym,00138508,train
01567275,_derivationally_related_form,01052853,train
02076535,_member_meronym,02078882,train
06389753,_derivationally_related_form,01745377,test
01055404,_derivationally_related_form,07118747,train
00820352,_hypernym,01011031,test
00066191,_hypernym,01802494,train
15156746,_synset_domain_topic_of,06095022,train
02987177,_derivationally_related_form,07425011,train
08404549,_synset_domain_topic_of,08199025,train
11911591,_member_meronym,12015384,train
01250335,_derivationally_related_form,02482425,train
07745803,_hypernym,07705931,train
01065057,_derivationally_related_form,00026734,train
08860123,_member_of_domain_region,10413276,train
10765305,_hypernym,10100761,train
01999423,_derivationally_related_form,08572467,train
00201923,_derivationally_related_form,00462092,train
04048075,_hypernym,04463983,train
06266417,_derivationally_related_form,10224578,train
01231652,_derivationally_related_form,03623556,train
00514069,_derivationally_related_form,03519081,train
00986275,_hypernym,00981830,train
04926427,_hypernym,04924103,train
03502509,_hypernym,03051540,train
00626428,_derivationally_related_form,10508710,test
00512843,_hypernym,00511817,train
05220306,_hypernym,05219561,train
02304982,_hypernym,02281093,train
02669885,_hypernym,03297735,train
13712592,_hypernym,13603305,train
10722575,_derivationally_related_form,00603298,train
05833840,_derivationally_related_form,00631737,train
02497400,_derivationally_related_form,00787832,train
02652158,_derivationally_related_form,07994331,train
14064408,_hypernym,14062725,train
10407310,_derivationally_related_form,04878101,train
15127307,_has_part,15127729,train
07410207,_derivationally_related_form,01397088,valid
00391407,_derivationally_related_form,01556572,train
09440400,_has_part,08853741,train
09105821,_has_part,09107626,train
08752814,_instance_hypernym,09316454,train
08982587,_has_part,08983274,train
00884946,_hypernym,00885217,train
01415256,_member_meronym,01415393,train
03759954,_hypernym,03274561,train
10868177,_instance_hypernym,10375794,train
08191987,_has_part,08194074,train
00286333,_synset_domain_topic_of,03405725,train
01440378,_hypernym,01439190,train
02983097,_derivationally_related_form,15226214,train
02288473,_member_meronym,02290521,train
13233012,_member_meronym,13235947,train
00194534,_hypernym,00173338,train
08955082,_has_part,08955397,train
09907919,_hypernym,09917593,train
10829450,_instance_hypernym,10020890,test
08487504,_member_meronym,08981244,train
00161243,_derivationally_related_form,00674607,train
08717915,_instance_hypernym,08544813,train
13878112,_derivationally_related_form,02047650,train
12697883,_hypernym,11585340,train
01907258,_derivationally_related_form,07351612,train
04353803,_derivationally_related_form,01385170,train
09105821,_has_part,09106770,train
04954683,_derivationally_related_form,01119421,train
13192025,_member_meronym,13194328,train
03103128,_has_part,03320046,train
12011067,_member_meronym,12012253,train
00930806,_hypernym,00930599,train
04618070,_hypernym,04617562,train
14892289,_hypernym,14859838,train
13905405,_hypernym,13904843,train
00747640,_hypernym,00941990,train
14477877,_hypernym,14473222,train
14519366,_hypernym,14516501,train
12924284,_hypernym,12205694,train
02621107,_member_meronym,02621419,train
08902422,_instance_hypernym,08574314,train
02788148,_has_part,02783994,train
10494935,_derivationally_related_form,02001858,train
05427946,_has_part,05428136,train
01591490,_member_meronym,01592892,train
01003249,_verb_group,01002740,train
11381824,_instance_hypernym,09927451,train
00616153,_derivationally_related_form,05706629,train
06720784,_hypernym,06719579,train
10723300,_hypernym,10744544,train
09031653,_has_part,09033117,train
05664069,_derivationally_related_form,10269785,valid
07014029,_derivationally_related_form,00013615,train
04187547,_hypernym,03859280,train
09679708,_hypernym,09678009,test
02123672,_derivationally_related_form,05713737,train
01051331,_derivationally_related_form,01987160,train
00099184,_derivationally_related_form,13491616,train
01707925,_hypernym,01705494,train
09298698,_has_part,09296695,train
07157273,_member_of_domain_usage,00896688,train
02449011,_verb_group,02449183,valid
05307091,_hypernym,05282746,train
06893885,_derivationally_related_form,00796047,train
00756780,_hypernym,00752431,train
02678438,_derivationally_related_form,05832264,train
09699020,_derivationally_related_form,03058754,train
02081571,_hypernym,02075927,train
01498498,_derivationally_related_form,08523483,train
04270891,_hypernym,04565375,train
08118039,_hypernym,08114861,train
14603236,_hypernym,14911057,valid
02313906,_hypernym,02311387,train
02982790,_derivationally_related_form,01478002,train
06725067,_hypernym,06724763,train
11540747,_hypernym,11534677,train
00976698,_hypernym,00975452,train
02730471,_verb_group,02106006,train
02540670,_verb_group,02593107,valid
01622795,_derivationally_related_form,03860882,train
07542675,_derivationally_related_form,01819387,train
11778534,_member_meronym,11792598,train
00334996,_derivationally_related_form,09873604,train
13031690,_member_meronym,13033577,test
05046471,_derivationally_related_form,00341917,train
00312380,_hypernym,00109660,train
01312096,_has_part,01289061,train
02140970,_member_meronym,02142064,train
01786906,_derivationally_related_form,07516997,train
07346057,_derivationally_related_form,01876907,train
00552619,_hypernym,00126264,train
02576921,_derivationally_related_form,00751145,train
15169421,_hypernym,15228378,train
00022686,_derivationally_related_form,02888133,train
02071457,_derivationally_related_form,00396029,train
02206624,_hypernym,01759182,train
08174995,_member_meronym,08175233,train
00321652,_hypernym,00217956,train
00448440,_hypernym,00126264,train
12881105,_hypernym,13122364,train
01791973,_hypernym,02518161,train
01470856,_hypernym,01470225,train
13249927,_hypernym,13246662,train
13139055,_derivationally_related_form,00198057,train
01366415,_member_meronym,01366276,train
10940053,_instance_hypernym,10123844,train
05629682,_synset_domain_topic_of,06226057,train
01925694,_verb_group,01881180,train
00498530,_hypernym,00126264,test
03731695,_hypernym,03481172,train
11083656,_derivationally_related_form,00411009,train
14036539,_derivationally_related_form,01785971,train
09027292,_instance_hypernym,08524735,train
01949195,_member_meronym,01949330,train
08747054,_has_part,08747737,train
07157273,_member_of_domain_usage,10786992,train
07409255,_hypernym,07308563,train
10221777,_hypernym,10309896,train
02167052,_derivationally_related_form,05311054,train
06845599,_member_of_domain_usage,03433079,train
00212808,_hypernym,00209943,train
01959022,_synset_domain_topic_of,00299217,train
09690371,_hypernym,09641757,train
08801678,_has_part,08811982,train
10146927,_derivationally_related_form,00899597,train
03863442,_hypernym,04578559,train
01872645,_verb_group,01872877,train
11984144,_hypernym,13085113,train
01883212,_member_meronym,01885032,train
11709205,_has_part,07826930,train
01767199,_member_meronym,01974399,test
07296428,_derivationally_related_form,00109660,train
00104539,_derivationally_related_form,01508368,train
07575076,_derivationally_related_form,01185475,train
08759986,_instance_hypernym,08698379,train
00158804,_hypernym,00156601,train
07219751,_hypernym,07218470,train
04046810,_derivationally_related_form,01954559,train
00864475,_derivationally_related_form,13763384,train
14919272,_synset_domain_topic_of,01328702,train
05784560,_derivationally_related_form,02863247,train
00088481,_derivationally_related_form,02272549,train
02526085,_derivationally_related_form,00035189,train
04895773,_hypernym,04616059,train
08191987,_has_part,03812541,train
12556030,_hypernym,11585340,train
09544746,_hypernym,09544433,train
09060768,_has_part,09064861,train
02661574,_derivationally_related_form,08578517,train
03058949,_hypernym,03875218,train
12595452,_hypernym,12594989,train
11719468,_member_meronym,11732309,train
02626590,_member_meronym,02627292,train
02454939,_derivationally_related_form,10407552,train
03014440,_hypernym,03716327,train
00340662,_hypernym,00340463,train
02117333,_hypernym,02116118,train
02080783,_hypernym,02079933,train
01388813,_derivationally_related_form,14082595,train
05071556,_derivationally_related_form,01809655,train
10016954,_derivationally_related_form,01521367,train
10017272,_derivationally_related_form,01033346,train
09681351,_derivationally_related_form,03039087,valid
01612053,_also_see,01123148,train
00123234,_derivationally_related_form,01489332,train
01240188,_hypernym,01239862,test
15237782,_derivationally_related_form,00408272,train
06403393,_hypernym,06359877,train
01944617,_hypernym,01939598,train
09839167,_hypernym,10351874,train
12445848,_member_meronym,12446908,train
12264254,_hypernym,11573173,train
00234536,_hypernym,00233335,train
00146572,_hypernym,00145218,train
00665079,_derivationally_related_form,00080705,train
12039743,_member_meronym,12072419,train
00081836,_derivationally_related_form,02325968,train
01454636,_hypernym,01454431,train
02688794,_derivationally_related_form,03641706,train
01463520,_derivationally_related_form,01244593,train
00444629,_derivationally_related_form,13566535,train
01358328,_derivationally_related_form,03725035,train
08826306,_instance_hypernym,08821885,train
09990415,_derivationally_related_form,01894649,train
00661091,_synset_domain_topic_of,06043075,train
11665781,_member_meronym,11555413,train
04680465,_hypernym,04683136,train
07111047,_derivationally_related_form,00952182,train
01894670,_member_meronym,01894803,train
02578008,_derivationally_related_form,01199035,train
04668139,_derivationally_related_form,01476154,train
12806455,_member_meronym,12807773,train
09189411,_has_part,08971025,train
02423787,_member_meronym,02424695,train
00693780,_hypernym,00690614,train
06879056,_derivationally_related_form,02061069,valid
08396990,_synset_domain_topic_of,08199025,train
09803429,_hypernym,10066732,train
03225777,_hypernym,04004767,train
08245172,_member_meronym,08244062,train
13005166,_hypernym,11592146,train
13174670,_hypernym,11545714,train
04992163,_hypernym,04916342,train
00586262,_derivationally_related_form,02537960,train
02500619,_derivationally_related_form,10752480,train
06972090,_hypernym,06971872,train
12933164,_hypernym,11585340,train
00044797,_hypernym,00046534,train
01007222,_derivationally_related_form,06275095,train
14365356,_derivationally_related_form,02726715,train
00437976,_hypernym,00437449,train
12665271,_hypernym,12665048,train
10616379,_derivationally_related_form,01774799,train
03130340,_hypernym,13910384,train
01812471,_hypernym,01507175,train
02836607,_hypernym,04272054,train
01175467,_derivationally_related_form,10713502,train
00404403,_hypernym,00191142,valid
06920129,_hypernym,06906439,train
09044862,_has_part,09051726,train
06128570,_synset_domain_topic_of,03082979,train
06549661,_derivationally_related_form,00802946,train
00756194,_hypernym,00754956,train
03622058,_derivationally_related_form,01053495,train
02179518,_derivationally_related_form,04981139,train
08356375,_hypernym,08401248,train
02214203,_hypernym,01762525,train
00654625,_derivationally_related_form,05839024,train
11202063,_synset_domain_topic_of,06449735,train
00184117,_derivationally_related_form,00380083,train
02450505,_derivationally_related_form,01077350,train
02481436,_hypernym,00802318,train
00593108,_derivationally_related_form,10474645,train
13541975,_hypernym,13489037,train
07822687,_hypernym,07809368,train
00304662,_hypernym,00304422,train
11708442,_member_meronym,11708658,train
00800421,_hypernym,00798245,test
00596393,_hypernym,00586262,train
02142064,_member_meronym,02142993,train
08888676,_has_part,08889400,train
02037090,_hypernym,02038357,train
04937848,_hypernym,04934546,train
01648126,_hypernym,01641914,train
10460806,_derivationally_related_form,00935247,train
09830400,_hypernym,10253995,train
05614175,_hypernym,05617107,train
02722166,_hypernym,02722458,train
10109662,_derivationally_related_form,02617338,train
05617606,_hypernym,05616246,train
03420559,_synset_domain_topic_of,08199025,train
06621447,_hypernym,06619428,train
01968315,_hypernym,01940736,train
10206173,_hypernym,10205985,train
00431005,_derivationally_related_form,00105554,train
00390842,_hypernym,00462092,train
06410904,_hypernym,06589574,train
01129977,_also_see,02513269,valid
10686073,_derivationally_related_form,01822724,train
00205079,_derivationally_related_form,00798717,train
00948206,_hypernym,00947128,train
02212323,_member_meronym,02213362,train
15255804,_synset_domain_topic_of,00471613,train
12567768,_member_meronym,12568186,train
09076675,_has_part,08124649,train
13906669,_hypernym,13905792,train
02919275,_derivationally_related_form,00707624,train
15235126,_has_part,15236338,train
01642924,_derivationally_related_form,10046527,train
02351518,_hypernym,01862557,train
02703894,_hypernym,03910033,train
00888786,_hypernym,00884011,train
10383505,_hypernym,10738515,train
10665302,_hypernym,00007846,train
12568186,_hypernym,12495146,train
06199702,_hypernym,06196584,train
07644967,_hypernym,07644706,train
01724231,_hypernym,01695681,train
10415230,_derivationally_related_form,05924519,train
00285231,_hypernym,00283911,train
07042862,_hypernym,07037465,train
01421622,_derivationally_related_form,03573282,train
07761461,_hypernym,07760859,train
05520479,_has_part,05384817,train
04948722,_derivationally_related_form,02230990,train
12496735,_member_meronym,12496949,train
01934207,_member_meronym,01935012,train
03612134,_hypernym,03828465,valid
02317970,_derivationally_related_form,10409011,train
09935793,_derivationally_related_form,01205341,train
12945366,_hypernym,13122364,train
01194418,_derivationally_related_form,10299250,train
02576921,_hypernym,02574516,train
02743727,_hypernym,02603699,train
11887750,_hypernym,11669921,train
01230710,_derivationally_related_form,10209246,train
04474466,_has_part,02776205,train
07009538,_derivationally_related_form,07007945,train
01553142,_hypernym,01546921,train
03497657,_derivationally_related_form,00047172,train
06845599,_member_of_domain_usage,03913129,train
02014165,_derivationally_related_form,07333649,train
09539394,_synset_domain_topic_of,06431740,train
12387839,_hypernym,12387633,train
11015080,_instance_hypernym,09921792,train
09800631,_derivationally_related_form,00880978,train
11834654,_hypernym,13112664,valid
02178886,_member_meronym,02179012,train
02466111,_also_see,01222884,test
00426928,_hypernym,00407535,train
02158896,_derivationally_related_form,01049266,train
08191701,_hypernym,08198137,train
00324384,_derivationally_related_form,01969216,train
00583242,_hypernym,00126264,train
08390511,_hypernym,08198398,valid
01816336,_hypernym,01507175,train
04037443,_hypernym,02958343,train
01974062,_derivationally_related_form,00116376,train
01277938,_instance_hypernym,00981180,train
02042342,_hypernym,01507175,train
00570694,_derivationally_related_form,07336214,train
09798811,_hypernym,10016103,train
09275016,_has_part,09002814,train
00884317,_derivationally_related_form,05950733,train
01417807,_hypernym,01387617,train
09141526,_instance_hypernym,08655464,train
02549989,_hypernym,02528163,train
12892226,_member_meronym,12903250,train
02640440,_derivationally_related_form,05699434,train
02566528,_derivationally_related_form,00766234,valid
11697158,_member_meronym,11697388,train
05936704,_hypernym,05928118,test
01998467,_member_meronym,01998599,valid
07512465,_derivationally_related_form,02105990,train
07203126,_derivationally_related_form,01011031,train
08855763,_instance_hypernym,08524735,train
10515194,_derivationally_related_form,00384620,train
02552449,_hypernym,01631072,train
00309582,_verb_group,00309792,valid
09957834,_hypernym,10018021,train
02396427,_hypernym,02395003,train
07964809,_hypernym,07964495,train
10329337,_derivationally_related_form,02204242,train
00371264,_hypernym,00126264,train
11287964,_instance_hypernym,10323182,train
06028904,_synset_domain_topic_of,06018465,train
01663920,_derivationally_related_form,02897237,train
00862225,_hypernym,00856578,train
12366507,_hypernym,11575425,train
11644226,_hypernym,11643835,train
10418841,_derivationally_related_form,00770437,train
09889539,_hypernym,10426749,train
00320681,_verb_group,00321148,train
11634970,_member_meronym,11635152,train
00479932,_derivationally_related_form,00181476,train
01556671,_member_meronym,01560511,train
00066901,_derivationally_related_form,02523784,train
08860123,_member_of_domain_region,03439348,train
00226071,_derivationally_related_form,00363052,train
01807529,_derivationally_related_form,05694791,train
10768585,_hypernym,00007846,train
01199751,_also_see,02062670,train
13655262,_derivationally_related_form,10315561,train
06880533,_derivationally_related_form,01021128,train
13527965,_hypernym,13518963,train
00053097,_derivationally_related_form,00613683,train
07352048,_derivationally_related_form,01901783,train
00838043,_derivationally_related_form,00754956,train
01042228,_derivationally_related_form,07223450,train
12423565,_member_meronym,12462401,train
04907991,_hypernym,04907269,train
02453889,_derivationally_related_form,02354537,train
10577820,_derivationally_related_form,05976257,train
02109045,_hypernym,02108026,train
00775006,_hypernym,00766234,train
10815648,_instance_hypernym,10547145,train
00371051,_derivationally_related_form,13548531,train
07434473,_derivationally_related_form,00504270,train
00713167,_derivationally_related_form,14420954,train
12598409,_member_meronym,12598629,train
12280886,_member_meronym,12281241,train
02455310,_hypernym,01864707,train
00952963,_hypernym,01080366,train
06343520,_hypernym,06333653,train
01137987,_hypernym,01136519,train
01759326,_derivationally_related_form,00242808,train
05294819,_hypernym,05294606,train
03790512,_has_part,03616763,train
12191587,_hypernym,13109733,train
08521267,_hypernym,08660339,train
04767805,_derivationally_related_form,00675701,train
01749790,_derivationally_related_form,00938791,train
09541125,_hypernym,09540430,train
04194289,_has_part,04226537,train
04055030,_hypernym,03872495,train
09767197,_derivationally_related_form,02413480,train
13189222,_hypernym,13167078,train
11603630,_hypernym,11554175,train
07105475,_member_of_domain_usage,11414041,train
01074694,_derivationally_related_form,01476483,train
02548710,_derivationally_related_form,10671898,train
01973375,_hypernym,01342529,train
03001627,_has_part,02767433,train
09281777,_derivationally_related_form,01904293,train
02901481,_hypernym,03000247,train
08277805,_derivationally_related_form,09759311,train
01936537,_hypernym,01955984,train
01868370,_derivationally_related_form,00349705,train
01346804,_derivationally_related_form,00383390,train
01803380,_derivationally_related_form,00425905,train
05817845,_derivationally_related_form,00946105,train
01671039,_derivationally_related_form,03624966,train
05627785,_hypernym,05625879,train
08253640,_derivationally_related_form,01186208,train
02908217,_hypernym,03563967,train
06822198,_hypernym,06820964,train
01701697,_hypernym,01657723,train
01949110,_hypernym,01955984,train
12392385,_hypernym,11567411,train
01140514,_derivationally_related_form,05648459,train
05821486,_derivationally_related_form,02712443,train
02679530,_derivationally_related_form,02806261,train
13243261,_derivationally_related_form,10110287,train
14854847,_derivationally_related_form,00074453,train
07398659,_derivationally_related_form,01929467,valid
01651293,_derivationally_related_form,00795720,train
09385586,_synset_domain_topic_of,07979425,train
13318147,_hypernym,13306870,train
03091996,_derivationally_related_form,14647623,train
00066977,_derivationally_related_form,05405324,valid
01293389,_hypernym,01295275,train
12940778,_hypernym,11585340,train
01742556,_derivationally_related_form,03524574,train
07335414,_derivationally_related_form,00388635,test
00662589,_verb_group,00920336,train
09189411,_has_part,08718577,train
01762528,_derivationally_related_form,01260867,train
00381331,_hypernym,00381013,train
07414566,_derivationally_related_form,00433232,train
01624169,_hypernym,01659248,train
06084469,_derivationally_related_form,10421470,train
09102016,_has_part,09103217,train
04390977,_derivationally_related_form,01854519,train
13658998,_hypernym,13649268,train
05529729,_has_part,05530429,train
00841091,_derivationally_related_form,01240514,train
03275681,_hypernym,02955247,train
01075117,_hypernym,00954086,train
10612803,_derivationally_related_form,01989720,train
06318062,_hypernym,06317672,train
05762998,_derivationally_related_form,00618878,train
00287735,_derivationally_related_form,04975122,train
10184081,_hypernym,09977660,train
02496576,_member_meronym,02498355,train
01983048,_hypernym,01982650,train
02223694,_hypernym,01762525,valid
00847340,_hypernym,00844254,train
00131018,_derivationally_related_form,03398467,train
02828648,_hypernym,03519981,train
09913824,_synset_domain_topic_of,06084469,train
13451348,_hypernym,13518963,valid
01386494,_member_meronym,01406092,train
08787240,_instance_hypernym,08524735,train
01058880,_derivationally_related_form,06767777,train
01528821,_hypernym,01421622,train
10216106,_hypernym,09609232,train
01210352,_hypernym,01206218,train
09095023,_has_part,09097707,train
01897885,_derivationally_related_form,00527498,train
02036578,_also_see,01369663,train
02069271,_hypernym,01864707,train
06681551,_derivationally_related_form,01068134,train
06329313,_derivationally_related_form,00060477,train
13983807,_hypernym,13983515,train
04737430,_hypernym,04735929,train
12429352,_hypernym,12429148,train
10387586,_derivationally_related_form,03654374,train
04921900,_derivationally_related_form,02388403,train
02793495,_has_part,03500557,train
14332617,_hypernym,14322699,train
01156899,_derivationally_related_form,02339413,train
09403734,_has_part,09386842,train
01676755,_hypernym,01674464,train
10576316,_hypernym,09853645,train
04543772,_has_part,03533972,train
04375926,_derivationally_related_form,00393953,train
12053405,_hypernym,12041446,train
02305856,_derivationally_related_form,13366912,train
12226322,_member_meronym,12233410,train
04737020,_hypernym,04735929,train
08730354,_instance_hypernym,09316454,train
00105554,_derivationally_related_form,00431005,train
02554422,_hypernym,02554922,train
11375418,_instance_hypernym,10123844,train
10773665,_hypernym,09974648,train
00303849,_hypernym,00326440,train
08897065,_has_part,08898002,train
01774136,_derivationally_related_form,10162194,train
06083243,_derivationally_related_form,10806222,test
11698895,_member_meronym,11699071,train
00240810,_hypernym,00230746,train
00433778,_hypernym,00151689,train
08389297,_synset_domain_topic_of,08199025,train
00051511,_derivationally_related_form,03058603,train
14002279,_derivationally_related_form,02673134,train
03913437,_hypernym,03247620,train
13977366,_hypernym,13972797,train
06950528,_hypernym,06946823,train
05780104,_hypernym,05779371,train
11991549,_hypernym,11991263,train
00618878,_derivationally_related_form,04618070,train
00512749,_derivationally_related_form,02468864,train
12967281,_member_meronym,12967504,train
02652335,_member_meronym,02656426,train
13077479,_member_meronym,13081369,train
01220152,_hypernym,01219893,train
03924978,_hypernym,03180969,train
01723224,_hypernym,01712704,train
01205696,_derivationally_related_form,14419510,train
00177578,_synset_domain_topic_of,00671351,train
00731789,_derivationally_related_form,00375625,train
15178417,_hypernym,15173479,train
10191943,_hypernym,09616922,train
10369955,_hypernym,10582746,train
09133010,_instance_hypernym,08655464,train
01143498,_hypernym,01143838,train
00890441,_hypernym,00884466,train
13662190,_hypernym,13604718,train
12464278,_member_meronym,12464476,test
01048330,_hypernym,00983824,train
01810447,_derivationally_related_form,10590977,train
00378664,_hypernym,01564144,train
06906971,_hypernym,06906439,train
02006211,_hypernym,01507175,train
10792335,_derivationally_related_form,01778017,train
02317488,_hypernym,08103777,train
13046285,_hypernym,11594676,train
02034394,_member_meronym,02035402,train
00158804,_derivationally_related_form,07961480,train
01372682,_hypernym,01376245,train
06468951,_derivationally_related_form,01008288,train
02122665,_derivationally_related_form,07401726,train
02236495,_member_meronym,02240706,train
02464693,_derivationally_related_form,04668819,valid
01683271,_synset_domain_topic_of,00933420,train
14554853,_hypernym,14552802,train
01854223,_member_meronym,01854415,train
02585489,_hypernym,01803003,test
05552607,_has_part,05551711,train
01523823,_derivationally_related_form,01244593,train
04550184,_hypernym,03405725,train
02031752,_member_meronym,02032222,train
13086908,_hypernym,00019128,train
10531557,_hypernym,10027246,train
00324560,_hypernym,00322847,train
06684572,_derivationally_related_form,01013040,train
05054130,_derivationally_related_form,00594413,valid
02646377,_member_meronym,02646508,train
10133458,_hypernym,09633969,train
05499828,_hypernym,05462674,train
02632359,_hypernym,01432517,train
06633041,_derivationally_related_form,00899956,train
01103614,_hypernym,01103159,train
06779914,_hypernym,06778102,train
01106808,_derivationally_related_form,02244956,train
01130169,_derivationally_related_form,04192858,train
08957381,_member_of_domain_region,08038995,train
02534492,_derivationally_related_form,06371267,train
00574996,_hypernym,00109660,train
12501745,_member_meronym,12545090,train
10395209,_derivationally_related_form,02107817,train
06590885,_synset_domain_topic_of,06677302,test
10312287,_derivationally_related_form,06118563,train
02682424,_hypernym,02681795,train
01430447,_hypernym,01428853,train
01308438,_instance_hypernym,00973077,train
05486510,_has_part,05494365,train
10523519,_derivationally_related_form,02648639,train
05222591,_hypernym,05220461,train
00851239,_hypernym,00794079,train
00074790,_hypernym,00070965,train
05003090,_derivationally_related_form,01904930,train
04466613,_hypernym,04463510,valid
00211108,_derivationally_related_form,14040846,train
01790739,_derivationally_related_form,07508232,train
00072261,_derivationally_related_form,00846509,train
01248191,_hypernym,00049003,train
08830456,_has_part,09342729,train
02660769,_member_meronym,02661317,train
12996225,_member_meronym,12998130,train
11511327,_hypernym,04682462,train
00926472,_derivationally_related_form,10102506,train
10769321,_derivationally_related_form,02493260,train
01706488,_synset_domain_topic_of,07020895,train
00905399,_derivationally_related_form,01249315,train
00570003,_derivationally_related_form,13463490,train
01294330,_instance_hypernym,00956485,train
12554242,_hypernym,11585340,train
02373843,_member_meronym,02391049,train
11415084,_hypernym,11414874,train
00781480,_derivationally_related_form,02277303,train
00451370,_derivationally_related_form,01935476,train
10989610,_instance_hypernym,10650162,train
05120310,_hypernym,05120116,train
02308741,_derivationally_related_form,10670310,train
08208016,_hypernym,08008335,test
09189157,_hypernym,09221571,train
12946088,_member_meronym,12948978,train
01818972,_derivationally_related_form,07537259,train
05598147,_has_part,05283816,train
01803003,_derivationally_related_form,00425278,train
13984285,_hypernym,13983515,train
12787846,_member_meronym,12788201,train
09429387,_derivationally_related_form,01558440,train
07075172,_member_of_domain_usage,05831939,valid
10679054,_derivationally_related_form,01948077,train
07163988,_hypernym,07162680,train
09760609,_derivationally_related_form,02716767,train
08871007,_has_part,08873269,train
10489944,_hypernym,10707233,train
01744657,_member_meronym,01747739,train
12090890,_hypernym,12205694,train
07091587,_member_of_domain_usage,14412564,train
08910668,_has_part,08912153,train
12074678,_hypernym,11556857,train
09988703,_derivationally_related_form,02642238,train
11534434,_hypernym,08220891,train
08198398,_hypernym,08189659,train
10916731,_instance_hypernym,09980090,train
10868980,_synset_domain_topic_of,08083599,train
13798491,_hypernym,13783581,train
