head,relation,filteredTripleCount,tripleCount,representation
http://bias.org/entity/m/05t2fh4,http://bias.org/vocab/music/concert_tour/artist,1,1,1.0
http://bias.org/entity/m/05wkw,http://bias.org/vocab/visual_art/visual_art_form/artworks,1,1,1.0
http://bias.org/entity/m/060_7,http://bias.org/vocab/base/patronage/client/related_patron./base/patronage/patron_client_relationship/patron,1,1,1.0
http://bias.org/entity/m/066kp,http://bias.org/vocab/computer/computer/compatible_oses./computer/os_compatibility/operating_system,1,1,1.0
http://bias.org/entity/m/06by7v,http://bias.org/vocab/geography/lake_type/lakes_of_this_type,1,1,1.0
http://bias.org/entity/m/06fsr,http://bias.org/vocab/theater/play/country_of_origin,1,1,1.0
http://bias.org/entity/m/06fsr,http://bias.org/vocab/theater/play/lyricist,1,1,1.0
http://bias.org/entity/m/06g4_,http://bias.org/vocab/tv/tv_program_guest/appeared_on./tv/tv_guest_personal_appearance/episode,1,1,1.0
http://bias.org/entity/m/06rzwx,http://bias.org/vocab/aviation/airliner_accident/flight_destination,1,1,1.0
http://bias.org/entity/m/06x4c,http://bias.org/vocab/food/ingredient/dishes,1,1,1.0
http://bias.org/entity/m/06xpp7,http://bias.org/vocab/education/school/school_district,1,1,1.0
http://bias.org/entity/m/071t0,http://bias.org/vocab/sports/sport/related_equipment,1,1,1.0
http://bias.org/entity/m/075npt,http://bias.org/vocab/cvg/game_voice_actor/computer_game_voice_performances./cvg/game_performance/character,1,1,1.0
http://bias.org/entity/m/07657k,http://bias.org/vocab/computer/programming_language/language_designers,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/base/endorsements/endorsing_newspaper/endorsements./base/endorsements/newspaper_endorsement/election,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/newspaper/headquarters./location/mailing_address/state_province_region,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/newspaper/owner,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/periodical/publisher./book/periodical_publisher_period/publisher,1,1,1.0
http://bias.org/entity/m/07kb5,http://bias.org/vocab/religion/religious_leader/religious_leadership./religion/religious_organization_leadership/organization,1,1,1.0
http://bias.org/entity/m/07l1c,http://bias.org/vocab/book/newspaper_owner/newspapers_owned,1,1,1.0
http://bias.org/entity/m/07l1c,http://bias.org/vocab/book/periodical_publisher/periodicals_published./book/periodical_publisher_period/periodical,1,1,1.0
http://bias.org/entity/m/07sz1,http://bias.org/vocab/law/court/judges./law/judicial_tenure/judge,1,1,1.0
http://bias.org/entity/m/07v5q,http://bias.org/vocab/user/tfmorris/default_domain/document/signatories,1,1,1.0
http://bias.org/entity/m/07yjb,http://bias.org/vocab/base/folklore/mythical_creature/mythology,1,1,1.0
http://bias.org/entity/m/081k8,http://bias.org/vocab/theater/theatrical_lyricist/play_lyrics_written,1,1,1.0
http://bias.org/entity/m/083pr,http://bias.org/vocab/law/judge/courts./law/judicial_tenure/court,1,1,1.0
http://bias.org/entity/m/08b26_,http://bias.org/vocab/cvg/game_series/games_in_series,1,1,1.0
http://bias.org/entity/m/09hz7t,http://bias.org/vocab/sports/multi_event_tournament/sports,1,1,1.0
http://bias.org/entity/m/0bm39zf,http://bias.org/vocab/common/resource/annotations./common/webpage/category,1,1,1.0
http://bias.org/entity/m/0bvqq,http://bias.org/vocab/architecture/structure/architect,1,1,1.0
http://bias.org/entity/m/0c_md_,http://bias.org/vocab/people/appointee/position./people/appointment/appointed_by,1,1,1.0
http://bias.org/entity/m/0cc65,http://bias.org/vocab/base/usnationalparks/us_national_park/state,1,1,1.0
http://bias.org/entity/m/0cc65,http://bias.org/vocab/protected_sites/protected_site/iucn_category,1,1,1.0
http://bias.org/entity/m/0cq7tx,http://bias.org/vocab/film/film_featured_song/performed_by,1,1,1.0
http://bias.org/entity/m/0cv72h,http://bias.org/vocab/american_football/football_player/receiving./american_football/player_receiving_statistics/season,1,1,1.0
http://bias.org/entity/m/0cxn2,http://bias.org/vocab/food/dish/ingredients,1,1,1.0
http://bias.org/entity/m/0d060g,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse_origin/horses_from_this_location,1,1,1.0
http://bias.org/entity/m/0d10d,http://bias.org/vocab/base/schemastaging/fish/found_in,1,1,1.0
http://bias.org/entity/m/0d6nx,http://bias.org/vocab/sports/sports_facility/teams,1,1,1.0
http://bias.org/entity/m/0d_wr7,http://bias.org/vocab/fictional_universe/fictional_character/children,1,1,1.0
http://bias.org/entity/m/0df9z,http://bias.org/vocab/royalty/noble_title/used_in./royalty/system_title_relationship/system,1,1,1.0
http://bias.org/entity/m/0dhz0,http://bias.org/vocab/aviation/aircraft_type/aircraft_of_this_type,1,1,1.0
http://bias.org/entity/m/0dn_w,http://bias.org/vocab/metropolitan_transit/transit_system/area_served,1,1,1.0
http://bias.org/entity/m/0dq_5,http://bias.org/vocab/fictional_universe/character_rank/characters_of_this_rank,1,1,1.0
http://bias.org/entity/m/0dx97,http://bias.org/vocab/architecture/architect/structures_designed,1,1,1.0
http://bias.org/entity/m/0flw86,http://bias.org/vocab/religion/religion/places_of_worship,1,1,1.0
http://bias.org/entity/m/0frmb1,http://bias.org/vocab/american_football/football_coach/coaching_history./american_football/football_historical_coach_position/position,1,1,1.0
http://bias.org/entity/m/0frmb1,http://bias.org/vocab/american_football/football_coach/coaching_history./american_football/football_historical_coach_position/team,1,1,1.0
http://bias.org/entity/m/0hn2q,http://bias.org/vocab/sports/sports_team/roster./ice_hockey/hockey_roster_position/player,1,1,1.0
http://bias.org/entity/m/0hnws,http://bias.org/vocab/fictional_universe/fictional_character/place_of_birth,1,1,1.0
http://bias.org/entity/m/0hnws,http://bias.org/vocab/fictional_universe/fictional_character/rank,1,1,1.0
http://bias.org/entity/m/0hqly,http://bias.org/vocab/martial_arts/martial_artist/martial_art,1,1,1.0
http://bias.org/entity/m/0hsph,http://bias.org/vocab/award/hall_of_fame_inductee/hall_of_fame_inductions./award/hall_of_fame_induction/category,1,1,1.0
http://bias.org/entity/m/0hsph,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse/country,1,1,1.0
http://bias.org/entity/m/0hsph,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse/sex,1,1,1.0
http://bias.org/entity/m/0j4sj,http://bias.org/vocab/book/periodical_format/periodicals_in_this_format./book/periodical_format_period/periodical,1,1,1.0
http://bias.org/entity/m/0jgqg,http://bias.org/vocab/computer/programming_language/parent_language,1,1,1.0
http://bias.org/entity/m/0jnng,http://bias.org/vocab/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/player,1,1,1.0
http://bias.org/entity/m/0k2dm,http://bias.org/vocab/comic_books/comic_book_series/created_by,1,1,1.0
http://bias.org/entity/m/0k8z,http://bias.org/vocab/common/webpage/topic,1,1,1.0
http://bias.org/entity/m/0kpw3,http://bias.org/vocab/transportation/road/end1./transportation/road_starting_point/location,1,1,1.0
http://bias.org/entity/m/0l14gg,http://bias.org/vocab/music/album_release_type/albums,1,1,1.0
http://bias.org/entity/m/0m_sb,http://bias.org/vocab/metropolitan_transit/transit_line/service_type,1,1,1.0
http://bias.org/entity/m/0pf3k,http://bias.org/vocab/base/patronage/patron/related_client./base/patronage/patron_client_relationship/client,1,1,1.0
